,total_nodes,total_channels,total_capacity,date,avg_channel_size,avg_node_capacity,median_channel_size
0,17894.0,86747.0,4624.07816274,2022-09-01,0.0533053380836224,0.258415008535822,0.012
1,17895.0,86573.0,4628.2478397,2022-09-03,0.05346063830178,0.2586335758424141,0.012
2,17907.0,86962.0,4667.25304349,2022-09-04,0.0536700287883213,0.2606384678332495,0.012
3,17916.0,87013.0,4695.651562319999,2022-09-05,0.0539649427363727,0.2620926301808439,0.012
4,17916.0,86968.0,4689.0412686,2022-09-06,0.0539168575637015,0.261723669825854,0.012
5,17915.0,86927.0,4704.62066702,2022-09-07,0.0541215119240282,0.2626079077320681,0.012
6,17892.0,86878.0,4714.27075109,2022-09-08,0.0542631132287805,0.2634848396540353,0.012
7,17906.0,86832.0,4722.254732779999,2022-09-09,0.0543838070386493,0.2637247142175806,0.012
8,17906.0,86582.0,4728.32780077,2022-09-10,0.0546109791962532,0.2640638780727131,0.012
9,17891.0,86555.0,4744.490238269999,2022-09-11,0.0548147448243313,0.2651886556520038,0.012
10,17888.0,86591.0,4752.53396308,2022-09-12,0.0548848490383527,0.2656828020505367,0.012
11,17902.0,86630.0,4767.80402058,2022-09-13,0.0550364079485166,0.2663280091933862,0.012
12,17888.0,86617.0,4766.952807029999,2022-09-14,0.0550348408168142,0.2664888644359346,0.012
13,17893.0,86647.0,4784.44814405,2022-09-15,0.0552177010635105,0.2673921725842508,0.012
14,17884.0,86556.0,4786.04050462,2022-09-16,0.0552941506610749,0.2676157741344218,0.012
15,17881.0,86542.0,4800.33288216,2022-09-17,0.0554682452700422,0.2684599788691907,0.012
16,17875.0,86429.0,4784.25649322,2022-09-18,0.0553547593194413,0.2676507129074126,0.012
17,17882.0,86426.0,4793.08039984,2022-09-19,0.0554587786064378,0.2680393915579913,0.012
18,17876.0,86498.0,4806.48688446,2022-09-20,0.055567607163865,0.2688793289583799,0.012
19,17881.0,86632.0,4820.90453864,2022-09-21,0.0556480808320251,0.269610454596499,0.012
20,17892.0,86658.0,4820.47917185,2022-09-22,0.055626476168963,0.269420923979991,0.012
21,17887.0,86652.0,4825.10333951,2022-09-23,0.055683692696187,0.2697547570587578,0.012
22,17885.0,86524.0,4827.39662951,2022-09-24,0.0557925734999537,0.2699131467436399,0.012
23,17891.0,86544.0,4844.6687782,2022-09-25,0.0559792565423368,0.2707880374601755,0.012
24,17889.0,86429.0,4848.08934745,2022-09-26,0.0560933176069374,0.2710095224691151,0.012
25,17886.0,86468.0,4876.48733542,2022-09-27,0.0563964395547485,0.272642700180029,0.012
26,17878.0,86352.0,4872.74342123,2022-09-28,0.0564288426583055,0.272555287013648,0.012
27,17879.0,86356.0,4890.9107888,2022-09-29,0.0566366064755199,0.2735561714189831,0.012
28,17874.0,86370.0,4907.3621017,2022-09-30,0.056817900911196,0.2745530995692066,0.012022215
29,17880.0,86432.0,4963.23860662,2022-10-04,0.0574236232717049,0.2775860518243848,0.01236321
30,17862.0,86448.0,4983.54468176,2022-10-05,0.0576478886933185,0.2790026134676968,0.01248932
31,17852.0,86444.0,5001.15600926,2022-10-06,0.0578542872756929,0.2801454183990589,0.0125
32,17837.0,86221.0,4938.84596283,2022-10-07,0.0572812419576437,0.2768877032477434,0.01249998
33,17838.0,86201.0,4969.43039901,2022-10-08,0.0576493358430876,0.278586747337706,0.0125
34,17844.0,86131.0,4985.64543781,2022-10-09,0.0578844485470968,0.2794017842305537,0.0125
35,17852.0,86079.0,4975.6261644,2022-10-10,0.0578030200676123,0.2787153352229441,0.0125
36,17845.0,85953.0,4979.3149894,2022-10-11,0.0579306712901236,0.2790313807453068,0.0125
37,17852.0,85915.0,5005.74134752,2022-10-12,0.0582638811327474,0.2804022713152588,0.0125
